Year,Month,Word,Frequency
2015,02,care,37
2015,02,federal,35
2015,02,work,34
2015,02,education,34
2015,02,families,33
2015,02,trafficking,33
2015,05,bill,56
2015,05,act,45
2015,05,legislation,37
2015,05,fischer,33
2015,05,senate,33
2015,05,district,32
2015,05,congress,32
2015,05,veterans,31
2015,05,national,31
2015,05,last,29
2014,08,veterans,42
2014,08,border,39
2014,08,legislation,37
2014,08,care,35
2014,08,collins,35
2014,08,children,34
2014,08,congress,29
2014,08,senate,29
2014,08,also,26
2014,08,families,25
2010,09,government,41
2010,09,spending,29
2010,09,tax,29
2010,09,jobs,23
2010,09,congress,23
2010,09,federal,22
2010,09,congresswoman,22
2010,09,new,21
2010,09,american,21
2010,09,america,19
2012,01,jobs,58
2012,01,congress,51
2012,01,district,40
2012,01,american,34
2012,01,law,33
2012,01,work,32
2012,01,pipeline,31
2012,01,energy,30
2012,01,act,29
2012,01,job,29
2014,04,work,72
2014,04,budget,69
2014,04,hours,64
2014,04,act,49
2014,04,workers,48
2014,04,district,47
2014,04,jobs,46
2014,04,american,41
2014,04,open,39
2014,04,obamacare,38
2009,08,collins,12
2009,08,senator,11
2009,08,afghanistan,10
2009,08,iraq,9
2009,08,new,8
2009,08,general,8
2009,08,congress,7
2009,08,read,6
2009,08,plane,5
2009,08,american,5
2009,09,health,45
2009,09,care,37
2009,09,kansas,35
2009,09,reform,24
2009,09,congress,23
2009,09,plan,23
2009,09,bill,19
2009,09,issues,18
2009,09,acorn,16
2009,09,insurance,14
2011,03,congress,47
2011,03,spending,47
2011,03,border,44
2011,03,government,40
2011,03,federal,36
2011,03,american,32
2011,03,kansas,26
2011,03,small,25
2011,03,security,24
2011,03,care,24
2010,12,congress,34
2010,12,miller,24
2010,12,bill,17
2010,12,congresswoman,17
2010,12,candice,16
2010,12,people,15
2010,12,tax,14
2010,12,mi,14
2010,12,contact,14
2010,12,national,12
2011,05,energy,96
2011,05,collins,96
2011,05,senator,85
2011,05,budget,81
2011,05,said,60
2011,05,spending,55
2011,05,national,45
2011,05,debt,44
2011,05,government,44
2011,05,american,43
2011,12,american,41
2011,12,tax,40
2011,12,federal,38
2011,12,regulations,35
2011,12,act,35
2011,12,small,32
2011,12,businesses,32
2011,12,bill,30
2011,12,government,30
2011,12,security,29
2010,08,kansas,24
2010,08,financial,15
2010,08,health,15
2010,08,care,14
2010,08,congress,14
2010,08,plan,9
2010,08,folks,9
2010,08,listening,9
2010,08,continue,9
2010,08,billion,9
2014,09,american,56
2014,09,isil,55
2014,09,health,52
2014,09,district,46
2014,09,threat,38
2014,09,isis,37
2014,09,congress,37
2014,09,work,35
2014,09,act,34
2014,09,people,32
2010,02,kansas,43
2010,02,spending,29
2010,02,year,24
2010,02,topeka,23
2010,02,budget,21
2010,02,issues,16
2010,02,visit,15
2010,02,great,14
2010,02,state,14
2010,02,bill,14
2009,12,debt,34
2009,12,jobs,31
2009,12,capito,31
2009,12,energy,27
2009,12,collins,27
2009,12,new,26
2009,12,year,24
2009,12,senator,24
2009,12,afghanistan,23
2009,12,bill,22
